From,Destination,Service Class,Via Place,Time,Slot Label,District,State,Population_Millions,Urbanisation Level,Region_Type,Interstate_Flag,Start,End,Urban_Level_Num,Interstate_Flag_Num
Mangaluru,Subramanya,Limited,Uppinangadi,06:30:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mysuru,Bengaluru,Express,Madikeri,06:30:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:32:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:36:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:40:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",06:40:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:44:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Mudipu,Limited,Thokkottu,06:45:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:48:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Phajeer,Limited,Farangipete,06:50:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:52:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:56:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Valiyullahi Dargha Shareef Jardgaudde Ammembala,Limited,Thokkottu,07:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Polali,Limited,Nanthur,07:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",07:00:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Bengaluru,Multi Axle,Sakleshpura,07:00:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Bengaluru,Express,Sakleshpura,07:00:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Subramanya,Limited,Uppinangadi,07:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Mysuru,Express,Madikeri,07:00:00,6 AM - 10 AM,Mysore,Karnataka,3.42,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Mermajalu,Ordinary,Farangipete,07:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Farangipete,Ordinary,Farangipete,07:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Yenepoya,Non Ac Sleeper,Thokkottu,07:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
