From,Destination,Service Class,Via Place,Time,Slot Label,District,State,Population_Millions,Urbanisation Level,Region_Type,Interstate_Flag,Start,End,Urban_Level_Num,Interstate_Flag_Num,Time_Score,Crowd_Risk_Score,Crowd_Risk_Level
Mangaluru,Mudipu,Limited,Thokkottu,18:55:00,6 PM - 10 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.114,Moderate
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:55:00,6 PM - 10 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,18:00:00,22:00:00,1,1,2,1.408,Low
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",19:00:00,6 PM - 10 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.114,Moderate
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:00:00,6 PM - 10 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,18:00:00,22:00:00,1,1,2,1.408,Low
Mangaluru,Vijayapura,Non Ac Sleeper,Kumta,19:00:00,6 PM - 10 PM,Bijapur,Karnataka,2.48,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.144,Moderate
Mangaluru,Kamatagi,Express,Kumta,19:00:00,6 PM - 10 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,18:00:00,22:00:00,3,0,2,1.8450000000000002,Medium
Mangaluru,Bengaluru,Express,Sakleshpura,19:00:00,6 PM - 10 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,18:00:00,22:00:00,5,0,2,4.888,Very High
Mangaluru,Ballari,Non Ac Sleeper,Udupi,19:00:00,6 PM - 10 PM,Bellary,Karnataka,2.79,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.237,High
Mangaluru,B.C.Road,Ordinary,Farangipete,19:00:00,6 PM - 10 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.114,Moderate
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:08:00,6 PM - 10 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,18:00:00,22:00:00,1,1,2,1.408,Low
Mangaluru,Kabbaragi,Express,Kumta,19:15:00,6 PM - 10 PM,Koppal,Karnataka,1.58,Low,Mid Rural,No,18:00:00,22:00:00,1,0,2,1.274,Very Low
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:16:00,6 PM - 10 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,18:00:00,22:00:00,1,1,2,1.408,Low
Mangaluru,Mudipu,Limited,Thokkottu,19:20:00,6 PM - 10 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.114,Moderate
Mangaluru,Hungund,Express,Kumta,19:20:00,6 PM - 10 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,18:00:00,22:00:00,3,0,2,1.8450000000000002,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:24:00,6 PM - 10 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,18:00:00,22:00:00,1,1,2,1.408,Low
Mangaluru,Bagalakote,Express,Kumta,19:30:00,6 PM - 10 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,18:00:00,22:00:00,3,0,2,1.8450000000000002,Medium
Mangaluru,Bengaluru,Express,Sakleshpura,19:30:00,6 PM - 10 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,18:00:00,22:00:00,5,0,2,4.888,Very High
Mangaluru,Sandur,Non Ac Sleeper,Hosapete,19:30:00,6 PM - 10 PM,Bellary,Karnataka,2.79,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.237,High
Mangaluru,Mysuru,Express,Madikeri,19:30:00,6 PM - 10 PM,Mysore,Karnataka,3.42,Very High,Top Urban,No,18:00:00,22:00:00,5,0,2,2.626,High
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:32:00,6 PM - 10 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,18:00:00,22:00:00,1,1,2,1.408,Low
Mangaluru,"Ankalimata, Talekat",Express,Kumta,19:35:00,6 PM - 10 PM,Raichur,Karnataka,2.2,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.06,Moderate
Mangaluru,Bengaluru,Multi Axle,Sakleshpura,19:35:00,6 PM - 10 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,18:00:00,22:00:00,5,0,2,4.888,Very High
Mangaluru,Adyar padavu,Limited,Thokkottu,19:40:00,6 PM - 10 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.114,Moderate
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",19:40:00,6 PM - 10 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,18:00:00,22:00:00,1,1,2,1.408,Low
Mangaluru,Muddebihal,Express,Kumta,19:45:00,6 PM - 10 PM,Bijapur,Karnataka,2.48,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.144,Moderate
Mangaluru,Bengaluru,Non Ac Sleeper,Sakleshpura,19:45:00,6 PM - 10 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,18:00:00,22:00:00,5,0,2,4.888,Very High
Mangaluru,Amingad,Express,Kumta,19:50:00,6 PM - 10 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,18:00:00,22:00:00,3,0,2,1.8450000000000002,Medium
Mangaluru,Belagavi,Non Ac Sleeper,Kumta,20:00:00,6 PM - 10 PM,Belagavi,Karnataka,5.44,Very High,Top Urban,No,18:00:00,22:00:00,5,0,2,3.232,Very High
Mangaluru,Bengaluru,Express,Sakleshpura,20:00:00,6 PM - 10 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,18:00:00,22:00:00,5,0,2,4.888,Very High
Mangaluru,Davanagere,Non Ac Sleeper,Udupi,20:00:00,6 PM - 10 PM,Davanagere,Karnataka,2.22,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.0660000000000003,Moderate
Mangaluru,Davanagere,Express,"BC Road, Belthangadi",20:05:00,6 PM - 10 PM,Davanagere,Karnataka,2.22,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.0660000000000003,Moderate
Mangaluru,Bagalakote,Express,Kumta,20:05:00,6 PM - 10 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,18:00:00,22:00:00,3,0,2,1.8450000000000002,Medium
Mangaluru,Bengaluru,Express,Sakleshpura,20:14:00,6 PM - 10 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,18:00:00,22:00:00,5,0,2,4.888,Very High
Mangaluru,Kushtagi,Express,Kumta,20:15:00,6 PM - 10 PM,Koppal,Karnataka,1.58,Low,Mid Rural,No,18:00:00,22:00:00,1,0,2,1.274,Very Low
