"Sl.No",From,Destination,Service Class,Via Place,Time,Slot Label
248,Kundapura,Mysuru,Express,Madikeri,12:00:00,10 AM - 2 PM
249,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",12:10:00,10 AM - 2 PM
250,Mangaluru,Mudipu,Limited,Thokkottu,12:15:00,10 AM - 2 PM
251,Mangaluru,Belagavi,Express,Kumta,12:15:00,10 AM - 2 PM
252,Mangaluru,Hassan,Express,"BC Road, Belthangadi",12:30:00,10 AM - 2 PM
253,Mangaluru,Mudipu,Limited,Thokkottu,12:30:00,10 AM - 2 PM
254,Mangaluru,Bengaluru,Rajahamsa,Sakleshpura,12:30:00,10 AM - 2 PM
255,Mangaluru,Madikeri,Express,Puttur,12:30:00,10 AM - 2 PM
256,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",12:35:00,10 AM - 2 PM
257,Mangaluru,Kadur,Express,"BC Road, Belthangadi",12:45:00,10 AM - 2 PM
258,Mangaluru,Kateelu,Ordinary,Thokkottu,12:45:00,10 AM - 2 PM
259,Mangaluru,Mumbai,Multi Axle,Kumta,12:45:00,10 AM - 2 PM
260,Mangaluru,Arsikere,Express,Sakleshpura,12:45:00,10 AM - 2 PM
261,Mangaluru,Kutta,Express,Puttur,12:45:00,10 AM - 2 PM
262,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",12:50:00,10 AM - 2 PM
263,Mangaluru,Mudipu,Limited,Thokkottu,12:50:00,10 AM - 2 PM
264,Mangaluru,Chikkamagaluru,Express,"BC Road, Belthangadi",13:00:00,10 AM - 2 PM
265,Mangaluru,Ghatterga,Express,Kumta,13:00:00,10 AM - 2 PM
266,Mangaluru,Bengaluru,Express,Sakleshpura,13:00:00,10 AM - 2 PM
267,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,13:00:00,10 AM - 2 PM
268,Mangaluru,Subramanya,Limited,Uppinangadi,13:00:00,10 AM - 2 PM
269,Mangaluru,Uppinangady,Limited,Uppinangadi,13:15:00,10 AM - 2 PM
270,Mangaluru,Mysuru,Express,Madikeri,13:15:00,10 AM - 2 PM
271,Mangaluru,Parapu,Limited,Thokkottu,13:20:00,10 AM - 2 PM
272,Mangaluru,Somwarpet,Express,Sakleshpura,13:20:00,10 AM - 2 PM
273,Hubballi,Dharmasthala,Express,"BC Road, Belthangadi",13:30:00,10 AM - 2 PM
274,Mangaluru,Kadur,Express,"BC Road, Belthangadi",13:30:00,10 AM - 2 PM
275,Mangaluru,Mudipu,Limited,Thokkottu,13:30:00,10 AM - 2 PM
276,Mysuru,Gokarna,Express,Kumta,13:30:00,10 AM - 2 PM
277,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",13:45:00,10 AM - 2 PM
278,Mangaluru,Hassan,Express,"BC Road, Belthangadi",13:45:00,10 AM - 2 PM
279,Mangaluru,Bengaluru,Express,Sakleshpura,13:45:00,10 AM - 2 PM
280,Mangaluru,Subramanya,Limited,Uppinangadi,13:45:00,10 AM - 2 PM
281,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",13:57:00,10 AM - 2 PM
282,Mangaluru,Kadur,Express,"BC Road, Belthangadi",14:00:00,2 PM - 6 PM
283,Mangaluru,Mudipu,Limited,Thokkottu,14:00:00,2 PM - 6 PM
284,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:00:00,2 PM - 6 PM
285,Mangaluru,Belagavi,Express,Kumta,14:00:00,2 PM - 6 PM
286,Mangaluru,Tirupati,Multi Axle,Sakleshpura,14:00:00,2 PM - 6 PM
287,Mangaluru,Holenarasipur ,Express,Sakleshpura,14:00:00,2 PM - 6 PM
288,Kundapura,Mysuru,Rajahamsa,Madikeri,14:00:00,2 PM - 6 PM
289,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:03:00,2 PM - 6 PM
290,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:06:00,2 PM - 6 PM
291,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:09:00,2 PM - 6 PM
292,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:12:00,2 PM - 6 PM
293,Karwar,Dharmasthala,Express,"BC Road, Belthangadi",14:15:00,2 PM - 6 PM
294,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:15:00,2 PM - 6 PM
295,Mangaluru,Gokarna,Volvo,Kumta,14:15:00,2 PM - 6 PM
296,Mysuru,Kundapura,Express,Udupi,14:15:00,2 PM - 6 PM
297,Mangaluru,Madikeri,Express,Puttur,14:15:00,2 PM - 6 PM
298,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:18:00,2 PM - 6 PM
299,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:21:00,2 PM - 6 PM
300,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:24:00,2 PM - 6 PM
